threshold,coverage,accepted_accuracy,accepted_examples,target_accuracy_met
0.0,1.0,0.905396402398401,1501,False
0.005755078705330652,1.0,0.905396402398401,1501,False
0.07004232496536963,0.9753497668221186,0.9228142076502732,1464,False
0.1408883239942796,0.9506995336442372,0.9362298528381219,1427,False
0.20888190769691103,0.9267155229846769,0.9439252336448598,1391,False
0.30636004503189973,0.9020652898067955,0.9549483013293943,1354,True
0.42036215002948407,0.8780812791472352,0.9650986342943855,1318,True
0.5119892431911642,0.8534310459693538,0.9711163153786104,1281,True
0.5809698731510033,0.8294470353097935,0.97429718875502,1245,True
0.6769953883136793,0.8047968021319121,0.9776490066225165,1208,True
0.7343058385923633,0.7808127914723517,0.9795221843003413,1172,True
0.8209339640303072,0.7561625582944703,0.9823788546255506,1135,True
0.8865850318197782,0.7321785476349101,0.986351228389445,1099,True
0.9620224918903637,0.7075283144570287,0.9887005649717514,1062,True
0.991840262330328,0.6835443037974683,0.9902534113060428,1026,True
1.0577680575060326,0.6588940706195869,0.9908998988877654,989,True
1.1185817724261657,0.6342438374417055,0.9926470588235294,952,True
1.1635771292718726,0.6102598267821452,0.9934497816593887,916,True
1.2331625169042109,0.5856095936042638,0.9943117178612059,879,True
1.2845957995511585,0.5616255829447035,0.9952550415183867,843,True
1.3316701177832064,0.5369753497668222,0.9950372208436724,806,True
1.4100741255569504,0.5129913391072618,0.9961038961038962,770,True
1.441783580362052,0.4883411059293804,0.9959072305593452,733,True
1.4859901604937573,0.4643570952698201,0.9956958393113343,697,True
1.5388659169799364,0.4397068620919387,0.996969696969697,660,True
1.5893925691274795,0.4157228514323784,0.9967948717948718,624,True
1.6181617350671507,0.391072618254497,0.9982964224872232,587,True
1.6687746382453166,0.3670886075949367,0.9981851179673321,551,True
1.7106081257708776,0.34243837441705527,0.9980544747081712,514,True
1.754859332472181,0.31778814123917387,0.9979035639412998,477,True
1.819436203626207,0.2938041305796136,1.0,441,True
1.8697995268845582,0.2691538974017322,1.0,404,True
1.9012788571682218,0.24516988674217188,1.0,368,True
1.9576987596877722,0.22051965356429049,1.0,331,True
2.020077204971766,0.1965356429047302,1.0,295,True
2.069330245778449,0.17188540972684876,1.0,258,True
2.1237848209159833,0.14790139906728847,1.0,222,True
2.2052769937271615,0.12325116588940706,1.0,185,True
2.298319687598938,0.09926715522984676,1.0,149,True
2.394343538889763,0.07461692205196535,1.0,112,True
2.5235472743235197,0.05063291139240506,1.0,76,True
