threshold,coverage,accepted_accuracy,accepted_examples,target_accuracy_met
0.0,1.0,0.9187208527648234,1501,False
0.10995224863290787,1.0,0.9187208527648234,1501,False
0.2884757725092081,0.9753497668221186,0.9364754098360656,1464,False
0.3534039373581226,0.9506995336442372,0.948843728100911,1427,False
0.42980307111373317,0.9267155229846769,0.9583033788641265,1391,True
0.4780192741980919,0.9020652898067955,0.9645494830132939,1354,True
0.522917220225701,0.8780812791472352,0.9696509863429439,1318,True
0.5830715940548824,0.8534310459693538,0.9765807962529274,1281,True
0.6256852929408734,0.8294470353097935,0.9815261044176706,1245,True
0.6634166836738586,0.8047968021319121,0.9850993377483444,1208,True
0.6909742538745587,0.7808127914723517,0.9889078498293515,1172,True
0.7239302259225112,0.7561625582944703,0.9911894273127754,1135,True
0.7476213482710031,0.7321785476349101,0.9927206551410374,1099,True
0.7741600275039674,0.7075283144570287,0.9934086629001884,1062,True
0.7963061332702637,0.6835443037974683,0.9941520467836257,1026,True
0.8144882779854995,0.6588940706195869,0.993933265925177,989,True
0.8311830392250648,0.6342438374417055,0.9947478991596639,952,True
0.8474643643085773,0.6102598267821452,0.9945414847161572,916,True
0.8590775361427894,0.5856095936042638,0.9977246871444824,879,True
0.8686095567849966,0.5616255829447035,0.9976275207591934,843,True
0.8762941131224999,0.5369753497668222,0.9975186104218362,806,True
0.8848759394425613,0.5129913391072618,0.9974025974025974,770,True
0.8935390710830688,0.4883411059293804,0.9972714870395635,733,True
0.9011580393864558,0.4643570952698201,0.9971305595408895,697,True
0.9090050871555622,0.4397068620919387,0.996969696969697,660,True
0.916336307158837,0.4157228514323784,0.9967948717948718,624,True
0.923068670126108,0.391072618254497,0.9965928449744463,587,True
0.929010808467865,0.3670886075949367,0.9981851179673321,551,True
0.9338800035990201,0.34243837441705527,0.9980544747081712,514,True
0.9393581518760095,0.31778814123917387,0.9979035639412998,477,True
0.9432092217298654,0.2938041305796136,0.9977324263038548,441,True
0.9471263060202966,0.2691538974017322,0.9975247524752475,404,True
0.9520146800921514,0.24516988674217188,0.9972826086956522,368,True
0.9553761986585764,0.22051965356429049,0.9969788519637462,331,True
0.9596035709747901,0.1965356429047302,0.9966101694915255,295,True
0.9634465208420386,0.17188540972684876,0.9961240310077519,258,True
0.9678348669639001,0.14790139906728847,0.9954954954954955,222,True
0.9715073567170364,0.12325116588940706,0.9945945945945946,185,True
0.9749433535795945,0.09926715522984676,0.9932885906040269,149,True
0.9786302218070397,0.07461692205196535,1.0,112,True
0.9837971329689026,0.05063291139240506,1.0,76,True
