actual,predicted,count
declined_transfer,declined_card_payment,6
get_disposable_virtual_card,getting_virtual_card,5
card_arrival,card_delivery_estimate,5
pending_transfer,transfer_timing,4
card_payment_not_recognised,compromised_card,4
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,4
pending_transfer,transfer_not_received_by_recipient,4
card_swallowed,cash_withdrawal_not_recognised,3
fiat_currency_support,exchange_via_app,3
card_delivery_estimate,card_arrival,3
balance_not_updated_after_bank_transfer,transfer_timing,3
wrong_amount_of_cash_received,declined_cash_withdrawal,3
why_verify_identity,verify_my_identity,3
pending_transfer,balance_not_updated_after_bank_transfer,3
topping_up_by_card,top_up_reverted,3
compromised_card,terminate_account,2
contactless_not_working,order_physical_card,2
compromised_card,cash_withdrawal_not_recognised,2
declined_transfer,transfer_not_received_by_recipient,2
balance_not_updated_after_bank_transfer,pending_transfer,2
Refund_not_showing_up,request_refund,2
beneficiary_not_allowed,transfer_into_account,2
beneficiary_not_allowed,failed_transfer,2
top_up_by_card_charge,supported_cards_and_currencies,2
receiving_money,exchange_via_app,2
pin_blocked,card_not_working,2
visa_or_mastercard,supported_cards_and_currencies,2
virtual_card_not_working,card_not_working,2
virtual_card_not_working,disposable_card_limits,2
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,2
transfer_not_received_by_recipient,transfer_timing,2
pending_top_up,topping_up_by_card,2
pin_blocked,change_pin,2
declined_transfer,failed_transfer,2
exchange_charge,exchange_rate,2
direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,2
direct_debit_payment_not_recognised,card_payment_not_recognised,2
compromised_card,card_not_working,2
card_payment_not_recognised,direct_debit_payment_not_recognised,2
disposable_card_limits,get_disposable_virtual_card,2
disposable_card_limits,getting_virtual_card,2
exchange_via_app,fiat_currency_support,2
top_up_reverted,top_up_failed,2
transfer_not_received_by_recipient,failed_transfer,2
unable_to_verify_identity,verify_my_identity,2
transfer_fee_charged,card_payment_fee_charged,2
balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal,1
automatic_top_up,lost_or_stolen_phone,1
balance_not_updated_after_bank_transfer,failed_transfer,1
Refund_not_showing_up,reverted_card_payment?,1
activate_my_card,apple_pay_or_google_pay,1
activate_my_card,card_about_to_expire,1
activate_my_card,card_linking,1
activate_my_card,lost_or_stolen_card,1
atm_support,card_acceptance,1
card_acceptance,supported_cards_and_currencies,1
card_acceptance,country_support,1
card_acceptance,card_not_working,1
beneficiary_not_allowed,receiving_money,1
beneficiary_not_allowed,exchange_via_app,1
automatic_top_up,top_up_limits,1
