split,model,accuracy,macro_f1,weighted_f1,top_3_accuracy
validation,tfidf_linear_svc,0.905396402398401,0.9045815462605349,0.9046857142997744,0.9680213191205863
validation,minilm_logistic_regression,0.9187208527648234,0.9208078271574166,0.9188900831636027,0.9793471019320453
test,tfidf_linear_svc,0.9090909090909091,0.9091126481379563,0.9091126481379561,0.9681818181818181
test,minilm_logistic_regression,0.9275974025974026,0.9273662776446046,0.9273662776446047,0.9827922077922078
